Distillery,Region,Peat_Avoider_Score,Flavour_Profile,Sweetness,Fruity,Malty,Honey,Smoky,Medicinal
GlenOrd,Highlands,6,Balanced / approachable,2,2,2,1,1,0
Bunnahabhain,Islay,5,Smoky / peaty,2,2,2,1,1,1
Ardmore,Highlands,5,Smoky / peaty,2,1,3,1,2,0
BlairAthol,Highlands,5,Smoky / peaty,2,2,2,1,2,0
Tobermory,Islands,5,Smoky / peaty,1,2,2,1,1,0
Tomatin,Highlands,5,Smoky / peaty,3,0,2,2,2,0
Bladnoch,Lowlands,5,Smoky / peaty,2,2,2,0,1,0
Craigallechie,Speyside,5,Smoky / peaty,2,1,2,2,2,0
Dufftown,Speyside,5,Smoky / peaty,3,2,2,0,1,1
Dailuaine,Highlands,5,Smoky / peaty,2,2,2,1,2,0
Dalmore,Highlands,5,Smoky / peaty,2,3,2,1,2,1
Mortlach,Speyside,5,Smoky / peaty,2,2,1,2,2,0
GlenDeveronMacduff,Highlands,4,Smoky / peaty,3,0,2,1,1,1
ArranIsleOf,Islands,4,Smoky / peaty,3,1,1,1,1,1
Balmenach,Highlands,4,Smoky / peaty,3,1,0,2,2,0
Mannochmore,Highlands,4,Smoky / peaty,1,2,1,1,1,0
Tamnavulin,Highlands,4,Smoky / peaty,3,2,1,0,2,0
GlenSpey,Highlands,4,Smoky / peaty,3,0,2,0,1,0
Glenmorangie,Highlands,4,Smoky / peaty,2,2,1,1,1,1
Craigganmore,Speyside,4,Smoky / peaty,3,2,2,0,2,1
Balblair,Highlands,3,Smoky / peaty,3,2,1,0,2,1
Tormore,Highlands,3,Smoky / peaty,2,0,1,1,1,0
Bruichladdich,Islay,3,Smoky / peaty,1,2,2,2,2,2
Loch Lomond,Highlands,3,Smoky / peaty,1,1,2,1,1,1
Highland Park,Islands,3,Smoky / peaty,2,1,2,2,3,1
Bowmore,Islay,2,Smoky / peaty,2,1,1,2,3,1
Oban,Highlands,2,Smoky / peaty,2,2,2,0,2,2
GlenGarioch,Highlands,2,Smoky / peaty,1,2,2,0,3,0
GlenScotia,Campbeltown,2,Smoky / peaty,2,1,2,1,2,2
Teaninich,Highlands,1,Smoky / peaty,2,2,0,0,2,1
Springbank,Campbeltown,1,Smoky / peaty,2,0,1,2,2,2
Talisker,Islands,1,Smoky / peaty,2,2,2,1,3,3
OldPulteney,Islands,1,Smoky / peaty,1,2,2,0,2,2
Isle of Jura,Islands,0,Smoky / peaty,1,1,1,1,2,2
Clynelish,Highlands,-1,Smoky / peaty,2,2,1,0,3,3
Caol Ila,Islay,-3,Smoky / peaty,1,1,1,0,4,2
Ardbeg,Islay,-4,Smoky / peaty,1,1,2,0,4,4
Lagavulin,Islay,-5,Smoky / peaty,1,1,1,0,4,4
Laphroig,Islay,-5,Smoky / peaty,2,0,1,0,4,4
