RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude,Peat_Index,Dessert_Index,Total_Intensity,Complexity,Islay_Flag,Region
26,Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,316600,836370,3,5,17,0.996204919895622,False,Speyside
27,Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,AB38 7RE,323520,841010,2,5,20,1.0730867399773196,False,Highlands
28,Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,IV17 0UT,266610,868730,3,6,20,0.8876253645985945,False,Highlands
29,Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,PH19 1AB,263670,785270,2,6,16,0.8876253645985945,False,Highlands
30,Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,271570,701570,1,6,16,0.8876253645985945,False,Highlands
31,Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB55 4BR,332360,839200,2,5,14,1.0298573010888743,False,Speyside
32,Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH16 5JP,295960,757940,1,7,20,1.1547005383792517,False,Highlands
33,GlenDeveronMacduff,2,3,1,1,1,1,1,2,0,2,0,1,AB4 3JT,372120,860400,3,4,15,0.8660254037844386,False,Highlands
34,GlenElgin,2,3,1,0,0,2,1,1,1,1,2,3,IV30 3SL,322640,861040,1,7,17,0.996204919895622,False,Speyside
35,GlenGarioch,2,1,3,0,0,0,3,1,0,2,2,2,AB51 0ES,381020,827590,3,3,16,1.1547005383792517,False,Highlands
36,GlenGrant,1,2,0,0,0,1,0,1,2,1,2,1,AB38 7BS,327610,849570,0,5,11,0.7929614610987591,False,Highlands
37,GlenKeith,2,3,1,0,0,1,2,1,2,1,2,1,AB55 3BU,340754,848623,1,6,16,0.8876253645985945,False,Highlands
38,GlenMoray,1,2,1,0,0,1,2,1,2,2,2,4,IV30 1YE,319820,862320,1,5,18,1.087114613009218,False,Highlands
39,GlenOrd,3,2,1,0,0,1,2,1,1,2,2,2,IV6 7UJ,251810,850860,1,5,17,0.90033663737852,False,Highlands
40,GlenScotia,2,2,2,2,0,1,0,1,2,2,1,1,PA28 6DS,172090,621010,4,4,16,0.7784989441615229,False,Highlands
41,GlenSpey,1,3,1,0,0,0,1,1,1,2,0,2,AB38 7AU,327760,849140,1,3,12,0.9534625892455924,False,Highlands
42,Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB38 9LR,326490,841240,1,6,14,0.9374368665610922,False,Highlands
43,Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB54 6DA,361200,844930,2,6,21,1.3568010505999362,False,Highlands
44,Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB55 4DJ,333000,840300,1,7,19,0.996204919895622,False,Highlands
45,Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB37 9BD,320950,838160,1,7,22,1.19341628287971,False,Speyside
46,Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB55 4DH,332680,840840,1,5,11,1.0836246694508318,False,Speyside
47,Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G63 9LB,252810,682750,0,6,15,0.9653072991634228,False,Highlands
48,Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH34 5ET,344380,666690,1,5,13,0.90033663737852,False,Lowlands
49,Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB37 9DB,319560,828780,1,7,20,0.9847319278346618,False,Speyside
50,Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV30 3SS,322640,861040,1,5,14,0.834847109936722,False,Speyside
51,Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,IV19 1PZ,276750,883450,2,5,16,0.7784989441615231,False,Highlands
52,Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,AB38 7AA,327650,849170,1,6,15,0.9653072991634228,False,Speyside
53,Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,PH7 4HA,285630,723580,1,6,19,0.9003366373785199,False,Highlands
54,Highland Park,2,2,3,1,0,2,1,1,1,2,1,1,KW15 1SU,345340,1009260,4,5,17,0.7929614610987591,False,Islands
55,Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,AB56 5AB,342610,863970,2,6,16,0.8876253645985945,False,Highlands
56,Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1,PA60 7XT,152660,667040,4,3,14,0.7177405625652734,False,Islands
57,Knochando,2,3,1,0,0,2,2,1,2,1,2,2,AB38 7RT,319470,841570,1,7,18,0.9045340337332908,False,Highlands
58,Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,PA42 7DZ,140430,645730,9,2,20,1.4974726182552525,True,Islay
59,Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,PA42 7DU,138680,645160,9,2,18,1.623688281771977,True,Islay
60,Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,IV30 3RD,322640,861040,1,7,16,1.0730867399773196,False,Speyside
61,Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2,G83 0TL,239370,680920,2,3,12,0.6030226891555273,False,Highlands
62,Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,IV30 3SJ,322640,861040,1,5,20,1.1547005383792517,False,Speyside
63,Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB38 9RX,327710,844480,1,8,23,1.378954368902449,False,Speyside
64,Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV30 3SS,322640,861040,1,4,14,0.7177405625652734,False,Highlands
65,Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV30 3TQ,322640,861040,1,6,14,1.19341628287971,False,Highlands
66,Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB55 4AQ,332950,839850,2,6,22,1.0298573010888743,False,Speyside
67,Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA34 5NH,185940,730190,4,4,16,0.984731927834662,False,Highlands
68,OldFettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB30 1YE,370860,772900,3,5,18,0.7977240352174656,False,Highlands
69,OldPulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW1 5BA,336730,950130,5,3,18,0.674199862463242,False,Islands
70,RoyalBrackla,2,3,2,1,1,1,2,1,0,2,3,2,IV12 5QY,286040,851320,4,7,20,0.8876253645985945,False,Highlands
71,RoyalLochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB35 5TB,326140,794370,2,7,21,0.9653072991634228,False,Highlands
72,Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW15 1SE,342850,1008930,2,6,18,0.674199862463242,False,Islands
73,Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB38 7AG,326930,851430,1,7,15,1.2154310870109943,False,Speyside
74,Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH21 1NS,278740,800600,1,5,15,0.8660254037844386,False,Highlands
75,Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA28 6EJ,172280,620910,4,4,17,0.7929614610987591,False,Campbeltown
76,Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB55 3BS,340754,848623,1,7,22,1.0298573010888743,False,Speyside
77,Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB55 5DQ,342650,850500,1,6,16,1.1547005383792517,False,Highlands
78,Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV47 8SR,137950,831770,6,5,21,1.3568010505999362,False,Islands
79,Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB38 7RP,319210,841760,1,6,14,0.834847109936722,False,Speyside
80,Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB37 9JA,321180,826110,2,5,16,1.1547005383792517,False,Highlands
81,Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV17 0XB,265360,869120,3,4,13,0.996204919895622,False,Highlands
82,Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA75 6NR,150450,755070,1,4,11,0.7929614610987591,False,Islands
83,Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV13 7YT,279120,829630,2,5,16,0.9847319278346618,False,Highlands
84,Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB37 9AQ,315100,825560,1,6,15,0.9653072991634228,False,Speyside
85,Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH26 3LR,315180,834960,1,3,10,0.8348471099367218,False,Highlands
86,Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH4 1QG,289690,708850,1,5,15,0.9653072991634228,False,Highlands
