year,tournament_status,winner,score,runner_up,venue,location,host_country,attendance,winner_goals,runner_up_goals,total_goals,goal_margin,after_extra_time,decided_on_penalties,winner_penalties,runner_up_penalties,winner_title_number,winner_continent,runner_up_continent,host_continent,winner_was_host,runner_up_was_host,final_in_winner_continent,final_in_runner_up_continent,final_type,notes,source_note,country_grouping_policy,winner_chart_name,runner_up_chart_name,validation_source_url,scheduled_final_date
1978,played,Argentina,3–1 (a.e.t.),Netherlands,Estadio Monumental,"Buenos Aires, Argentina",Argentina,71483,3,1,4,2,TRUE,FALSE,,,1,South America,Europe,South America,TRUE,FALSE,TRUE,FALSE,extra_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Argentina,Netherlands,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1982,played,Italy,3–1,West Germany,Santiago Bernabéu,"Madrid, Spain",Spain,90000,3,1,4,2,FALSE,FALSE,,,3,Europe,Europe,Europe,FALSE,FALSE,TRUE,TRUE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Italy,West Germany,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1986,played,Argentina,3–2,West Germany,Estadio Azteca,"Mexico City, Mexico",Mexico,114600,3,2,5,1,FALSE,FALSE,,,2,South America,Europe,North America,FALSE,FALSE,FALSE,FALSE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Argentina,West Germany,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1990,played,West Germany,1–0,Argentina,Stadio Olimpico,"Rome, Italy",Italy,73603,1,0,1,1,FALSE,FALSE,,,3,Europe,South America,Europe,FALSE,FALSE,TRUE,FALSE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,West Germany,Argentina,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1994,played,Brazil,0–0 (a.e.t.) (3–2 pen.),Italy,Rose Bowl,"Pasadena, California, United States",United States,94194,0,0,0,0,TRUE,TRUE,3,2,4,South America,Europe,North America,FALSE,FALSE,FALSE,FALSE,penalty_shootout,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Brazil,Italy,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
1998,played,France,3–0,Brazil,Stade de France,"Saint-Denis, Seine-Saint-Denis, France",France,80000,3,0,3,3,FALSE,FALSE,,,1,Europe,South America,Europe,TRUE,FALSE,TRUE,FALSE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,France,Brazil,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
2002,played,Brazil,2–0,Germany,International Stadium,"Yokohama, Japan",Japan,69029,2,0,2,2,FALSE,FALSE,,,5,South America,Europe,Asia,FALSE,FALSE,FALSE,FALSE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Brazil,Germany,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
2006,played,Italy,1–1 (a.e.t.) (5–3 pen.),France,Olympiastadion,"Berlin, Germany",Germany,69000,1,1,2,0,TRUE,TRUE,5,3,4,Europe,Europe,Europe,FALSE,FALSE,TRUE,TRUE,penalty_shootout,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Italy,France,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
2010,played,Spain,1–0 (a.e.t.),Netherlands,Soccer City,"Johannesburg, South Africa",South Africa,84490,1,0,1,1,TRUE,FALSE,,,1,Europe,Europe,Africa,FALSE,FALSE,FALSE,FALSE,extra_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Spain,Netherlands,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
2014,played,Germany,1–0 (a.e.t.),Argentina,Maracanã Stadium,"Rio de Janeiro, Brazil",Brazil,74738,1,0,1,1,TRUE,FALSE,,,1,Europe,South America,South America,FALSE,FALSE,FALSE,TRUE,extra_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Germany,Argentina,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
2018,played,France,4–2,Croatia,Luzhniki Stadium,"Moscow, Russia",Russia,78011,4,2,6,2,FALSE,FALSE,,,2,Europe,Europe,Europe,FALSE,FALSE,TRUE,TRUE,normal_time,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,France,Croatia,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
2022,played,Argentina,3–3 (a.e.t.) (4–2 pen.),France,Lusail Stadium,"Lusail, Qatar",Qatar,88966,3,3,6,0,TRUE,TRUE,4,2,3,South America,Europe,Asia,FALSE,FALSE,FALSE,FALSE,penalty_shootout,,User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,Argentina,France,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals,
2026,scheduled,,,,MetLife Stadium,"East Rutherford, New Jersey, United States",United States,,,,,,,,,,,,,North America,,,,,scheduled,"Future final scheduled; winners, runners-up, score and attendance unknown. 2026 tournament starts 2026-06-11.",User-provided finals table; 1942 and 1946 scaffold rows added as World War II cancellations.,historical_name_preserved,,,https://www.fifa.com/fifaplus/en/tournaments/mens/worldcup/canadamexicousa2026,2026-07-19
